3668

(-0.751999, -0.702651, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.747999, -0.711537, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.743999, -0.720310, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.739999, -0.728970, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.735999, -0.737514, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.731999, -0.745942, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.727999, -0.754252, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.723999, -0.762444, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.719999, -0.770514, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.715999, -0.778463, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.711999, -0.786290, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.707999, -0.793992, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.703999, -0.801568, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.699999, -0.809018, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.695999, -0.816340, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.691999, -0.823534, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.687999, -0.830597, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.683999, -0.837529, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.679999, -0.844329, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.675999, -0.850996, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.671999, -0.857528, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.667999, -0.863925, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.663999, -0.870185, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.659999, -0.876308, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.655999, -0.882292, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.651999, -0.888137, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.647999, -0.893842, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.643999, -0.899406, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.639999, -0.904828, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.635999, -0.910107, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.631999, -0.915242, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.627999, -0.920233, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.623999, -0.925078, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.619999, -0.929777, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.615999, -0.934330, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.611999, -0.938735, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.607999, -0.942991, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.603999, -0.947099, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.599999, -0.951057, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.595999, -0.954865, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.591999, -0.958523, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.587999, -0.962028, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.583999, -0.965382, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.579999, -0.968584, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.575999, -0.971632, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.571999, -0.974527, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.567999, -0.977269, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.563999, -0.979856, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.559999, -0.982288, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.555999, -0.984565, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.551999, -0.986686, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.547999, -0.988652, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.543999, -0.990462, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.539999, -0.992115, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.535999, -0.993612, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.531999, -0.994951, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.527999, -0.996134, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.523999, -0.997159, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.519999, -0.998027, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.515999, -0.998737, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.511999, -0.999290, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.507999, -0.999684, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.503999, -0.999921, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.499999, -1.000000, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.495999, -0.999921, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.491999, -0.999684, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.487999, -0.999289, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.483999, -0.998737, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.479999, -0.998027, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.475999, -0.997159, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.471999, -0.996133, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.467999, -0.994951, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.463999, -0.993611, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.459999, -0.992114, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.455999, -0.990461, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.451999, -0.988651, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.447999, -0.986685, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.443999, -0.984564, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.439999, -0.982287, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.435999, -0.979854, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.431999, -0.977267, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.427999, -0.974526, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.423999, -0.971631, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.419999, -0.968582, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.415999, -0.965381, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.411999, -0.962027, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.407999, -0.958521, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.403999, -0.954863, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.399999, -0.951055, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.395999, -0.947097, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.391999, -0.942989, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
